abandon v.放弃
precise adj.精确的;明确的
precision n.精确;精密
preclude v.排除;妨碍
precocious adj.早熟的;过早的
predict v.预言;预测
prediction n.预言;预测
predominant adj.占优势的;主要的
preface n.序言;前言
prefect n.地方长官;校长
prefer v.宁愿;更喜欢
preference n.偏爱;优先
prefix n.前缀 v.放在前面
pregnant adj.怀孕的;充满的
prejudice n.偏见;损害
preliminary adj.预备的;初步的
prelude n.前奏;序幕
premier n.总理;首相
premise n.前提;假定
premium n.保险费;奖金
preoccupation n.忧虑;全神贯注
preoccupy v.使全神贯注
preparation n.准备;配置
prepare v.准备;使适合
prepared adj.准备好的;有准备的
preposition n.介词
prescribe v.开药;规定
prescription n.药方;处方
presence n.存在;出席
present adj.出现的 v.提供
presentation n.呈现;介绍
presenter n.展示者;主持人
preserve v.保护;保存
president n.总统;校长
presidential adj.总统的;首长的
press v.压;逼迫 n.出版社
pressure n.压力;压迫
prestige n.声望;威信
presto adj.迅速的;熟练的
presumably adv.大概;可能
presume v.假定;推测
pretence n.伪装;借口
pretend v.假装;装扮
pretext n.借口;托辞
pretty adj.漂亮的;可爱的
prevail v.盛行;获胜
prevailing adj.流行的;盛行的
prevalence n.普遍;盛行
prevent v.预防;阻止
prevention n.预防;阻止
previous adj.以前的;早先的
prey n.猎物;牺牲品 v.捕食
price n.价格;代价
pricing n.定价;价格确定
pride n.自豪;骄傲
priest n.教士;神父
priestess n.女祭司;女法师
primary adj.主要的;初级的
prime adj.主要的 n.质数
primitive adj.原始的;简单的
prince n.王子;王孙
princess n.公主;王妃
principal adj.主要的 n.校长
principle n.原则;原理
print n.印刷品;字体 v.印刷
printer n.印刷工;打印机
prior adj.优先的;在前的
priority n.优先;重点
prism n.棱镜;晶体
prison n.监狱;牢狱
prisoner n.囚犯;犯人
privacy n.隐私;隐居
private adj.私人的;私下的
privilege n.特权;特殊利益
prize n.奖;奖品 v.珍视
pro n.专业人士;前缀
probability n.可能性;概率
probable adj.可能的;大概的
probe n.探针 v.探索
problem n.问题;难题
procedure n.程序;手续
proceed v.进行;继续
process n.过程;方法 v.加工
procession n.队伍;行列
proclaim v.宣告;宣布
proclamation n.宣告;公布
produce v.生产;产生
producer n.生产者;制片人
product n.产品;结果
production n.生产;制造
productive adj.多产的;有成效的
productivity n.生产力;生产率
profession n.职业;声明
professional adj.专业的;职业的
professor n.教授;教师
proficiency n.熟练;精通
proficient adj.熟练的;精通的
profile n.轮廓;外形 v.扼要介绍
profit n.利润;利益 v.有益于
profitable adj.有利的;有益的
profound adj.深刻的;渊博的
program n.程序;计划 v.安排
programme n.节目;计划 v.规划
progress n.进步;发展 v.进展
progressive adj.进步的;向前进的
prohibit v.禁止;阻止
prohibition n.禁止;禁令
project n.项目;工程 v.投射
projectile n.抛射物;弹丸
projection n.投影;突出部分
projector n.放映机;投影仪
prolong v.延长;拖延
prolonged adj.延长的;拖延的
promenade n./v.散步;漫步
promote v.促进;提升
promoter n.促进者;发起人
promotion n.提升;促销
prompt v.促使 adj.敏捷的
prompting n.促使;激励
prone adj.倾向于;俯卧的
pronoun n.代名词
pronounce v.发音;宣布
pronunciation n.发音;发音方法
proof n.证据;证明 v.试验
prop n.支柱;道具 v.支撑
propaganda n.宣传;宣传资料
propagate v.传播;繁殖
propagation n.传播;繁殖
propel v.推进;激励
propeller n.推进器;螺旋桨
proper adj.适合的;恰当的
property n.财产;属性
prophecy n.预言;预言能力
prophet n.先知;预言者
proponent n.支持者;建议者
proportion n.比例;部分
proportional adj.成比例的;相称的
proportionate adj.相应的;成比例的
proposal n.提议;建议
propose v.建议;求婚
proposition n.主张;命题
proprietor n.所有者;业主
propriety n.适当;礼节
propulsion n.推进力;推进
prosaic adj.散文的;平凡的
prose n.散文;白话文
prosecute v.检举;告发
prosecution n.起诉;检举
prosecutor n.检察官;公诉人
prospect n.前途;景象
prospective adj.未来的;预期的
prosper v.繁荣;成功
prosperity n.繁荣;成功
prosperous adj.繁荣的;成功的
prostitute n.妓女 v.使沦为妓女
prostitution n.卖淫;堕落
prostrate adj.俯卧的;沮丧的
protagonist n.主角;主要人物
protect v.保护;警戒
protection n.保护;防卫
protective adj.保护的;防护的
protein n.蛋白质;朊
protest n.抗议;反对 v.抗议
protester n.抗议者;反对者
protocol n.协议;草案
prototype n.原型;典型
protract v.延长;拖长
protrude v.突出;伸出
proud adj.自豪的;骄傲的
prove v.证明;展现
proverb n.谚语;格言
proverbial adj.谚语的;众所周知的
provide v.提供;供应
provided adj.假如;倘若
provider n.提供者;供应者
province n.省;领域
provincial adj.省的;地方性的
provision n.供应;条款
provisional adj.暂时的;临时的
provoke v.激怒;挑起
provoked adj.被激怒的;被挑衅的
provocation n.激怒;挑衅
provocative adj.挑衅的;挑逗的
provoke v.激怒;挑起
prowess n.英勇;技能
prowl v.潜行;徘徊
proximate adj.接近的;最接近的
proximity n.接近;亲近
proxy n.代理人;代理权
prude n.假正经的人;过分拘谨的人
prudence n.谨慎;审慎
prudent adj.谨慎的;精明的
prune v.修剪;削减
psyche n.心智;心灵
psychiatrist n.精神病学家;精神病医生
psychiatry n.精神病学;精神病治疗
psychic adj.心灵的;超自然的
psychology n.心理学;心理状态
pub n.酒馆;客栈
public adj.公共的 n.公众
publication n.出版;出版物
publicity n.公开;宣传
publish v.出版;发布
publisher n.出版者;发布者
puck n.冰球;小精灵
pucker v.起皱;收缩
pudding n.布丁;甜点
puddle n.水坑;洼
puff n.一阵;吹嘘 v.喘息
puffin n.海雀;海鹦鹉
pull v.拉;拖
pulley n.滑轮;滑车
pulse n.脉搏;脉冲
pump n.泵 v.打气
pumpkin n.南瓜
punch v.冲压;穿孔 n.冲压机
punctual adj.准时的;守时的
punctuality n.准时;守时
punish v.惩罚;处罚
punishment n.惩罚;处罚
puny adj.弱小的;微小的
pup n.小狗;幼犬
pupil n.瞳孔;学生
puppet n.木偶;傀儡
purchase n.购买 v.购买
pure adj.纯的;纯洁的
purity n.纯净;纯洁
purple adj.紫色的 n.紫色
purpose n.目的;意图
purse n.钱包;小包
pursue v.追求;追赶
pursuit n.追求;追赶
pus n.脓;脓汁
push v.推;推动
pushy adj.强迫的;过分自信的
pussy n.小猫;懦夫
put v.放;表达
puzzle n.谜;难题 v.迷惑
puzzling adj.使迷惑的;令人费解的
pyramid n.金字塔;角锥形
quack n.庸医;鸭子叫声 v.发出嘎嘎声
quadrant n.象限;四分之一圆
quaint adj.古雅的;有趣的
quake n.地震;颤抖 v.震动
qualification n.资格;限制条件
qualified adj.有资格的;合格的
qualify v.使有资格;限定
qualitative adj.质的;定性的
quality n.质量;品质
quantify v.量化;确定数量
quantitative adj.数量的;定量的
quantum n.量子;数量
quarrel n.争吵 v.争吵
quarry n.采石场;猎物
quarter n.四分之一;地区
quarterly adj.季度的 adv.季度地
quartet n.四重奏;四重唱
quartz n.石英;水晶
quay n.码头;停泊处
queen n.女王;王后
queer adj.奇怪的;不适的
quench v.熄灭;压制
quest n.寻找;追求
question n.问题 v.询问
questionnaire n.调查表;问卷
queue n.队列;长队 v.排队
quicken v.加速;使活跃
quicksilver adj.水银的 n.水银
quiet adj.安静的 v.使安静
quietly adv.安静地;悄悄地
quilt n.被子;棉被
quiver n.颤抖;箭袋 v.颤抖
quiz n.小测验;问答比赛
quota n.配额;限额
quotation n.引用;报价
quote v.引用 n.引用
quotient n.商;比率
rabbi n.犹太教教士
rabbit n.兔子;野兔
race n.种族;赛跑 v.赛跑
racial adj.种族的;人种的
racism n.种族主义;种族歧视
rack n.架;行李架 v.折磨
racket n.球拍;喧闹声
radar n.雷达;无线电探测器
radiant adj.发光的;容光焕发的
radiate v.辐射;发射
radiation n.辐射;放射线
radical adj.根本的;激进的
radio n.收音机;无线电
radioactive adj.放射性的
radius n.半径;范围
rag n.破布;碎布
rage n.愤怒;狂暴
raid n./v.袭击;搜捕
rail n.铁路;栏杆 v.抱怨
railway n.铁路;铁道
rain n.雨;下雨 v.下雨
rainbow n.彩虹
raincoat n.雨衣
raise v.举起;增加;养育
raisin n.葡萄干
rally n.集会;拉力赛 v.集合
ram n.公羊;撞击 v.撞击
ramp n.斜坡;坡道
rampage n.暴怒;狂暴行为 v.狂暴
ranch n.大农场;牧场
rancher n.牧场主;农场主
random adj.随机的;任意的
range n.范围 v.排列
rank n.等级;军衔 v.排列
rap n.轻敲;责骂 v.轻敲
rape n.强奸;油菜 v.强奸
rapid adj.快的 n.急流
rapport n.默契;和睦
rascal n.流氓;无赖
rash adj.轻率的 n.疹子
rat n.老鼠;叛徒
rate n.比率;速度 v.评价
rather adv.宁可;相当
ratio n.比率;比例
rational adj.合理的;有理的
rationalize v.使合理;合理化
rattle n.嘎嘎声 v.使发出嘎嘎声
ravage n.破坏 v.毁坏
raven n.乌鸦;掠夺者
raw adj.生的;未加工的
rawhide n.生皮;生牛皮
ray n.光线;射线
razor n.剃刀;刮胡刀
reach v.到达;伸手
react v.反应;起作用
reaction n.反应;反作用
read v.读;理解
reader n.读者;读物
readily adv.容易地;乐意地
reading n.阅读;读数
ready adj.准备好的 adv.准备好地
real adj.真的;实的
realism n.现实主义;实在性
realistic adj.现实的;实际的
reality n.现实;实在
realize v.实现;认识到
realm n.领域;王国
ream n.令箭花;纸堆
reap v.收割;获得
rear n.后部;背面
rearrange v.重新安排
reason n.理由 v.推理
reasonable adj.合理的;公道的
reasoning n.推理;理由
reassure v.使安心;再保证
rebel n.反叛者 v.反叛
rebellion n.反叛;叛乱
rebellious adj.反叛的;难控制的
rebirth n.再生;复兴
reborn adj.再生的;重生的
rebound v.反弹 n.反弹
rebuff n.断然拒绝;冷落
rebuild v.重建;改造
rebut v.反驳;反抗
rebuttal adj.可反驳的;可驳斥的
recalcitrant adj.反抗的;难以控制的
recall v.回忆;召回
recapitulate v.重述;概括
recapture v.重新捕获;再次获得
recast v.重铸;改变
recede v.后退;收回
receipt n.收据;收到
receive v.收到;接纳
received adj.被一般承认的
receiver n.接收器;收款员
recent adj.新近的;近来的
receptacle n.容器;插座
reception n.接待;接收
receptive adj.善于接受的;接受的
recess n.休息时间;凹处
recession n.衰退;后退
recipe n.食谱;处方
recipient n.接受者;收受人
reciprocal adj.相互的;互惠的
reciprocate v.回报;相互作用
reciprocity n.互惠;相互性
recital n.独奏;朗诵
recitation n.朗诵;背诵
recite v.背诵;叙述
reckless adj.粗心的;鲁莽的
reckon v.计算;认为
reclaim v.开垦;回收
reclamation n.开垦;回收
recline v.使后仰;倚靠
recluse n.隐士;遁世者
recognition n.认出;识别
recognize v.认出;认可
recoil v.退缩;弹回
recollect v.回忆;记起
recollection n.回忆;记忆
recommend v.推荐;建议
recommendation n.推荐;建议
recompense n.报酬;赔偿金
reconcile v.和解;使一致
reconciliation n.和解;调和
recondite adj.深奥的;难懂的
recondition v.重新调整;再训练
reconnaissance n.侦察;预先探索
reconsider v.重新考虑
reconstruct v.重建;重构
reconstruction n.重建;复兴
record n.记录 v.记录
recorder n.记录员;录音机
recourse n.求助;依赖
recover v.恢复;痊愈
recovery n.恢复;痊愈
recreate v.再创造;娱乐
recreation n.娱乐;消遣
recreational adj.娱乐的;消遣的
recruit n.新兵;新成员 v.招募
rectangular adj.矩形的;长方形的
rectify v.纠正;整流
rectilinear adj.直线的;直角的
rectitude n.正直;正当
rectory n.教区牧师的住宅
recumbent adj.躺着的;倚靠的
recuperate v.恢复;复原
recur v.再发生;重现
recurrence n.重现;再发生
recycling n.回收利用;再利用
red n./adj.红色（的）
redound v.产生有利的结果
redress v./n.改正;赔偿
reduce v.减少;降低
reduction n.减少;降低
redundant adj.多余的;失业的
reed n.芦苇;簧片
reeds n.芦苇丛;苇丛
reek n.小湾;气味 v.发出气味
reel n.卷轴 v.卷;蹒跚
referee n.裁判员;仲裁人
reference n.参考;提及
referendum n.公民投票;公投
refine v.精炼;提纯
refined adj.精炼的;有教养的
refinement n.精炼;文雅
reflect v.反映;思考
reflection n.反射;思考
reflective adj.反射的;深思的
reflex n.反射;反映
reflexes n.反射;本能反应
reflexive adj.反射的;反身的
reform v./n.改革;重组
refrain v.抑制 n.重复句
refresh v.刷新;使恢复
refreshing adj.提神的;使人精神焕发的
refreshment n.刷新;点心
refrigerator n.冰箱;冷藏库
refuge n.避难所;庇护
refugee n.难民;流亡者
refund n.退款 v.退还
refurbish v.刷新;再磨光
refusal n.拒绝;拒绝权
refuse v.拒绝;不接受
refutation n.反驳;驳斥
refute v.反驳;驳斥
regain v.恢复;重新获得
regal adj.帝王的;庄严的
regard v.看待;尊重
regarding prep.关于
regardless adv.不顾;不顾一切
regenerate v.再生;更新
regime n.政权;制度
regiment n.团;大量
region n.地区;范围
register n.登记 v.登记
registrar n.注册员;登记员
registration n.注册;登记
registry n.登记;注册处
regress v.倒退;退化
regression n.退化;退步
regret n.遗憾 v.后悔
regretful adj.后悔的;惋惜的
regrettable adj.遗憾的;可惜的
regulate v.调节;规定
regulation n.规则;调节
regulatory adj.调节的;规定的
regurgitate v.反胃;涌回
rehabilitate v.修复;康复
rehabilitation n.修复;康复
rehearse v.排练;预演
reign n.统治;统治时期 v.统治
rein n.缰绳 v.控制
reincarnate v.转世;化身
reincarnation n.转世;化身
reinforce v.加强;加固
reinforcement n.加强;加固
reins n.缰绳;控制
reiterate v.重申;反复
reject v.拒绝;排斥
rejected adj.被拒绝的;被抛弃的
rejection n.拒绝;排斥
rejoice v.高兴;庆祝
rejoicing n.欢乐;庆祝
rejoin v.重新加入;回答
rejoinder n.反驳;回答
relate v.使关联;叙述
relation n.关系;叙述
relationship n.关系;关联
relative adj.相对的 n.亲戚
relativity n.相对性;相对论
relax v.放松;放宽
relaxation n.放松;休息
relay n.中继;接力 v.转送
release v.释放;发布
reliability n.可靠性;可信赖
reliable adj.可靠的;可信赖的
reliance n.信赖;信任
reliant adj.依赖的;信任的
relief n.减轻;浮雕
relieve v.减轻;解除
religion n.宗教;宗教信仰
religious adj.宗教的;虔诚的
reluctance n.不愿;犹豫
reluctant adj.不愿的;勉强的
rely v.依赖;依靠
remain v.保持;留下
remainder n.剩余物;余数
remaining adj.剩下的;其余的
remains n.遗址;遗骸
remake v.改造;重做
remand n.还押候审
remark n.评论 v.评论
remarkable adj.显著的;异常的
remedy n.补救;药品 v.补救
remember v.记得;记住
remembrance n.记忆;回忆
remind v.提醒;使想起
reminder n.提醒者;提醒物
reminisce v.回忆;怀旧
reminiscent adj.回忆的;怀旧的
remission n.宽恕;赦免
remit v.汇款;免除
remittance n.汇款;汇付
remnant n.残余;剩余
remodel v.改造;改型
remorse n.懊悔;同情
remorseful adj.后悔的;悔恨的
remote adj.遥远的;疏远的
remoteness n.遥远;偏僻
removal n.移开;移除
remove v.移开;脱掉
removes n.距离;移除
renaissance n.复兴;文艺复兴
render v.使成为;提供
rendering n.表演;翻译
rendezvous n.约会;集合点
rendition n.表演;翻译
renegade n.叛徒;背教者
renege v.背信;违约
renew v.使更新;续期
renewal n.更新;续新
renovate v.翻新;更新
renovation n.翻新;更新
renovator n.革新者;修复者
rent n.租金 v.出租
rental n.租赁;出租
reopen v.重开;再打开
reorganization n.重组;重建
reorganize v.重组;重建
rep n.代表;代理人
repair n.修理 v.修理
repairman n.修理工;技工
reparation n.赔偿;修理
repay v.偿还;报答
repayment n.偿还;报答
repeal v.撤销;废除
repeat v.重复;重做
repeated adj.重复的;再发生的
repel v.击退;排斥
repellent n.驱虫剂;排斥者
repent v.悔改;后悔
repentance n.悔改;后悔
repentant adj.悔改的;后悔的
repercussion n.反响;影响
repertoire n.全部剧目;节目单
repertory n.仓库;剧目
repetition n.重复;反复
replace v.替换;代替
replacement n.替换;代替
replenish v.补充;重新装满
replenishment n.补充;重新装满
replete adj.充满的;装满的
replica n.复制品;仿制品
replicate v.复制;重复
replication n.复制;重复
reply v./n.回答;答复
report n.报告;报道 v.报告
reportedly adv.据报道;据传闻
reporter n.报告人;记者
repose v.休息;放置
reposition v.重新定位
repository n.仓库;存放处
represent v.代表;象征
representation n.代表;表示
representative adj.代表性的 n.代表
repress v.镇压;抑制
repression n.镇压;抑制
repressive adj.压制的;抑制的
reprisal n.报复;回击
reproach n.责备;耻辱
reproachful adj.感到耻辱的;责难的
reproduce v.繁殖;复制
reproduction n.繁殖;复制
reptile n.爬行动物;爬虫
republic n.共和国;共和政体
republican adj.共和的 n.共和党人
repudiate v.抛弃;拒绝接受
repudiation n.抛弃;拒绝接受
repugnant adj.令人厌恶的;矛盾的
repulse v.击退;使厌恶
repulsion n.击退;厌恶
repulsive adj.令人厌恶的;排斥的
repurchase v.重新购买;买回
reputable adj.有名的;值得尊敬的
reputation n.名誉;名声
repute n.名气;声誉
request n./v.请求;需要
requested adj.被请求的;要求的
require v.需要;要求
requirement n.要求;必要条件
requisite adj.必要的 n.必需品
requisition n.征用;要求
reread v.再读;重读
rescue n./v.营救;救援
research n.研究 v.研究
researcher n.研究者;调查员
resemblance n.相似;相似之处
resemble v.类似;像
resent v.怨恨;愤恨
resentful adj.怨恨的;愤慨的
resentment n.怨恨;愤恨
reservation n.保留;预约
reserve n.储备 v.保留
reserved adj.保留的;缄默的
reservist n.后备役军人
reservoir n.蓄水池;水库
reset v.重新设定
reside v.居住;属于
residence n.居住;驻扎
residency n.居住;居住期
resident n.居民 adj.居住的
residential adj.居住的;住宅的
residual adj.剩余的;残留的
residue n.残渣;剩余
resign v.辞职;顺从
resignation n.辞职;放弃
resigned adj.逆来顺受的;已辞职的
resilience n.弹性;恢复力
resilient adj.有弹性的;能恢复的
resin n.树脂;松香
resist v.抵抗;反对
resistance n.抵抗;抵抗力
resistant adj.抵抗的;有抵抗力的
resolute adj.坚决的;果断的
resolution n.坚决;决议
resolve v.解决;决心
resonance n.共振;共鸣
resonant adj.共振的;回响的
resort n.度假胜地 v.求助
resound v.回响;回荡
resounding adj.响亮的;深刻的
resource n.资源;手段
resourceful adj.资源丰富的;足智多谋的
respect n./v.尊敬;尊重
respectable adj.值得尊敬的;体面的
respectful adj.恭敬的;尊重的
respective adj.分别的;各自的
respectively adv.分别地;各自地
respiration n.呼吸;呼气
respirator n.呼吸器;防毒面具
respite n.休息;暂缓
respond v.回答;反应
response n.回答;反应
responsibility n.责任;职责
responsible adj.有责任的;负责的
rest n.休息 v.休息
restless adj.不安的;不静止的
restoration n.恢复;修复
restore v.恢复;修复
restrain v.抑制;限制
restrained adj.抑制的;克制的
restraint n.抑制;限制
restrict v.限制;束缚
restriction n.限制;束缚
restrictive adj.限制的;限制性的
result n.结果 v.结果
resultant adj.作为结果的;产生的
resume v.继续;重新开始
resumption n.继续;重新开始
resurrect v.复活;复兴
resurrection n.复活;复兴
resuscitate v.使复活;复苏
retail n.零售 v.零售
retailer n.零售商
retain v.保持;保留
retainer n.保持者;雇员
retaliate v.报复;反击
retaliation n.报复;反击
retard v.延迟;阻碍
retarded adj.被延迟的;智力迟钝的
retch n.哽咽;恶心 v.哽咽
retention n.保留;保持
retentive adj.保持的;有记忆力的
reticent adj.沉默的;有保留的
retinue n.随从;侍从
retract v.缩回;收回
retraction n.缩回;收回
retreat n.撤退 v.撤退
retrench v.削减;紧缩
retrenchment n.削减;紧缩
retrial n.再审;复审
retribution n.报应;惩罚
retrieval n.取回;检索
retrieve v.取回;检索
retrospect n.回顾
retrospective adj.回顾的;怀旧的
return n.归还 v.返回
reunion n.团聚;再联合
reveal v.显示;揭露
revealing adj.揭示的;暴露的
revelation n.揭露;启示
revenge n.报仇;复仇
revenue n.收入;税收
reverberate v.回响;反响
reverberation n.回响;反响
revere v.尊敬;崇敬
reverence n.尊敬;崇敬
reverend n.尊敬的;教区牧师
reverent adj.尊敬的;崇敬的
reverie n.幻想;梦想
reversal n.颠倒;反转
reverse n.反面 v.反转
reversion n.恢复;转回
revert v.恢复原状;重新考虑
review n.复习 v.复习
reviewer n.评论者;审查者
revise v.修订;修改
revision n.修订;修改
revival n.复兴;复活
revive v.苏醒;复兴
revoke v.撤销;废除
revolt n./v.叛乱;反抗
revolting adj.令人厌恶的;叛乱的
revolution n.革命;旋转
revolutionary adj.革命的 n.革命者
revolutionize v.革命化;彻底改革
revolve v.旋转;演变
revolver n.左轮手枪;旋转者
revulsion n.强烈反感;厌恶
reward n.报酬 v.奖励
rewarding adj.有益的;值得的
reword v.重述;改写
rework v.重做;重新加工
rhetoric n.修辞;修辞学
rhetorical adj.修辞的;修辞学的
rhyme n.韵;押韵 v.押韵
rhythm n.节奏;韵律
rib n.肋骨;肋状物
ribbon n.丝带;带
rice n.稻米;米饭
rich adj.富有的;肥沃的
rid v.使摆脱;消除
riddance n.摆脱;消除
riddle n.谜;谜语 v.使困惑
ride v.骑;乘车 n.乘车
rider n.骑手;驾驭者
ridge n.岭;脊
ridicule n.嘲笑 v.嘲笑
ridiculous adj.荒谬的;可笑的
rife adj.流行的;普遍的
riff n.裂缝;冲突
rifle n.步枪;来复枪 v.搜查
rift n.裂缝;冲突
rig n.钻井平台;装备
rigged adj.有装备的;被操纵的
right adj.正确的 n.权利
righteous adj.正直的;正当的
rightful adj.合法的;正当的
rigid adj.刚硬的;僵硬的
rigidity n.刚硬;僵硬
rigor n.严格;严厉
rigorous adj.严格的;彻底的
rim n.边缘;边
ring n.戒指 v.打电话
riot n.暴乱;骚动
rip v.撕破 n.裂口
ripe adj.熟的;成熟的
ripen v.成熟;变熟
ripple n.波纹;涟漪 v.起涟漪
rise n.上升 v.上升
risk n.风险 v.冒...的危险
risky adj.冒险的;危险的
rite n.仪式;礼节
ritual adj.仪式的 n.仪式
rival n.对手;竞争者
rivalry n.竞争;对抗
river n.河;江
rivulet n.小河;小溪
road n.路;道路
roam v.漫游;流浪
roar v.吼叫;轰鸣
roast v.烤 n.烤肉
rob v.抢劫;剥夺
robbery n.抢劫;盗窃
robe n.长袍;礼服
robot n.机器人;自动机
robust adj.强健的;健康的
rock n.岩石;摇滚乐 v.摇动
rocket n.火箭 v.急升
rod n.杆;棍
role n.角色;任务
roll n.卷;名单 v.滚动
roller n.滚筒;滚轴
romance n.传奇;浪漫
romantic adj.浪漫的;传奇的
romp v.奔跑;嬉戏
roof n.屋顶;顶部
rooster n.公鸡
root n.根;根源 v.生根
rope n.绳;绳索
rose n.玫瑰;粉红色
rotate v.旋转;轮流
rotten adj.腐烂的;糟糕的
rotund adj.圆润的;洪亮的
rough adj.粗糙的;大致的
round adj.圆的 adv.周围
roundabout adj.间接的 n.旋转木马
rouse v.唤醒;激起
royalty n.王族;版税
rub v.擦;摩擦
rubber n.橡皮;橡胶
rubbish n.垃圾;废话
rubble n.碎石;瓦砾
ruby n.红宝石;红宝石色
rudder n.舵;方向舵
rude adj.粗鲁的;无理的
rue n.芸香;后悔 v.后悔
ruffle v.弄皱;激怒
rug n.小地毯;垫子
ruin n.废墟 v.毁灭
ruination n.毁灭;破产
rule n.规则 v.统治
ruler n.统治者;尺
rum n.朗姆酒;传闻
rumor n.谣言;传闻
rumour n.谣言;传闻
rump n.臀部;后部
rung n.横档;梯级
rupture n.破裂;疝气 v.破裂
rural adj.农村的;田园的
ruse n.诡计;欺骗
rush v.冲;匆忙 n.冲
rust n.锈 v.生锈
rustic adj.乡村的;质朴的
rustle n.沙沙声 v.发出沙沙声
rut n.车辙;常规
ruthless adj.无情的;冷酷的
sabotage n.破坏;颠覆活动
sack n.麻袋;解雇 v.解雇
sacrifice n.牺牲 v.牺牲
sacred adj.神圣的;宗教的
sacrifice v.牺牲;献祭
sad adj.悲哀的;难过的
sadden v.使悲伤;使悲哀
saddle n.鞍;马鞍
safe adj.安全的 n.保险箱
safety n.安全;保险
sail n.帆 v.航行
sailor n.水手;海员
saint n.圣人;道德崇高的人
sake n.缘故;目的
salad n.色拉;沙拉
salmon n.鲑鱼;鲑鱼肉
salon n.沙龙;客厅
salt n.盐 v.腌制
salty adj.咸的;含盐的
salute n./ v.敬礼;赞扬
salvation n.拯救;救助
same adj.相同的 pron.相同的
sample n.样品;样本 v.尝试
sand n.沙;沙子
sandwich n.三明治 v.夹入
sandy adj.含沙的;沙的
sane adj.神智健全的;明智的
sanguine adj.乐观的;血红色的
sanitary adj.卫生的;清洁的
sanitation n.卫生;下水道系统
sap n.树液;活力 v.消耗
sapiens n.智人;现代人
sarcasm n.讽刺;嘲笑
sardonic adj.讽刺的;嘲笑的
sash n.腰带;腰包
sat n.酢;丰富 adj.丰富的
satan n.撒旦;魔鬼
sate v.使饱;使厌腻
satellite n.卫星;人造卫星
satire n.讽刺;讽刺文学
satisfaction n.满足;满意
satisfactory adj.满意的;合意的
saturate v.浸透;使饱和
saturation n.饱和;饱和度
sauce n.酱油;调味汁
saucepan n.煮菜锅;深锅
saucer n.茶托;圆盘
saucy adj.俏皮的;无礼的
sauerkraut n.泡菜;德国泡菜
sausage n.香肠;腊肠
savage adj.野蛮的 n.野蛮人
savannah n.大草原;热带草原
save v.救;节省
savings n.存款;储蓄
savor n.风味;味道 v.品尝
savory adj.风味的;可口的
savour n.风味;味道 v.品尝
saw n.锯子 v.锯
saxophone n.萨克斯管
say v.说;表示
sayings n.言论;格言
scab n.痂;疤
scaffold n.脚手架;绞刑台
scale n.鳞;天平 v.攀登
scallop n.扇贝;干贝
scalpel n.外科手术刀
scamp n.露营;简陋的小屋
scan v.扫描;浏览
scandal n.丑闻;诽谤
scandalize v.使愤慨;使震惊
scant adj.不足的 v.节省
scar n.疤;创伤 v.留下伤痕
scarce adj.缺乏的;稀有的
scarcely adv.几乎不;简直不
scare n.惊恐 v.使害怕
scarf n.围巾;头巾
scarlet adj.猩红的 n.猩红色
scatter v.分散;散播
scene n.场景;景色
scenery n.风景;舞台布景
scent n.气味;嗅觉
schedule n.时间表 v.安排
schema n.计划;模式
schematic adj.计划的;图表的
scheme n.计划;阴谋
scholar n.学者;奖学金获得者
scholarship n.奖学金;学问
school n.学校;学科
science n.科学;学科
scientific adj.科学的
scientist n.科学家
scissors n.剪刀;剪子
scoff v.嘲笑;蔑视
scold v.责骂;训斥
scorch v.烧焦;烤焦
scorn n.轻蔑;鄙视
scorpion n.蝎子;蝎
scotch n./adj.苏格兰（人）的
scoundrel n.恶棍;无赖
scour v.擦洗;搜索
scourge n.灾难;鞭子
scout n.侦察员;侦察
scowl v.皱眉;愁眉苦脸
scramble v.攀登;争夺
scrap n.碎片;废料
scratch v.抓;刮擦
scream n.尖叫声 v.尖叫
screech v.尖叫;发出尖锐声
screen n.屏幕;屏风 v.掩蔽
screw n.螺旋;螺丝 v.拧紧
screwdriver n.螺丝刀;改锥
scribble v.乱写;涂鸦
script n.脚本;手稿
scroll n.卷轴;卷形物
scrub v.擦洗;灌木丛
scruffy adj.肮脏的;不整洁的
scruple n.顾忌;犹豫
scrupulous adj.细心的;谨慎的
scrutinize v.仔细检查;细读
scrutiny n.详细审查;仔细
sculpture n.雕塑;雕刻 v.雕塑
sculptural adj.雕刻的;雕塑的
sculptured adj.雕刻的;雕塑的
scurry v.急跑;疾走
scurvy adj.坏血的;不礼貌的
scuttle v.急走;急跑
seabed n.海床;海底
seafood n.海鲜;海产食品
seagull n.海鸥
seal n.海豹 v.封上
seam n.缝;接缝
seaman n.水手;海员
seamless adj.无缝的;无接缝的
seaport n.港口;海港
sear n.烧灼;焦土 v.烧灼
search n./v.搜索;搜寻
searchlight n.探照灯;搜索灯
seaside n.海滨;海边
season n.季节 v.加味
seasoning n.调味品;佐料
seat n.座位;席位 v.使坐下
secede v.脱离;退出
secession n.脱离;退出
second n.第二;秒
secondary adj.第二的;次要的
secondhand adj.二手的
secret adj.秘密的 n.秘密
secretariat n.秘书处;书记处
secrete v.分泌;隐藏
secretion n.分泌;分泌物
secretly adv.秘密地;背地里
sect n.教派;部门
section n.段;部分
sector n.扇形;部门
secular adj.世俗的;长期的
secure adj.安全的 v.保护
security n.安全;保障
sedate adj.安静的;稳重的
